Sample	Clusters
S6039	DR_NT
S5637	IE_NT
S7581	DR_NT
S3660	IE_NT
S6040	DR_NT
S5638	IE_NT
S3661	IE_NT
S710	IE_NT
S7371	DR_NT
S2888	IE_NT
S711	IE_NT
S3662	IE_NT
S6041	DR_NT
S9323	IE_T
S9627	IE_T
S712	IE_NT
S8385	TB_NT
S5482	IE_NT
S6985	DR_NT
S5483	IE_NT
S713	IE_NT
S3663	IE_NT
S3664	IE_NT
S6042	DR_NT
S2889	IE_NT
S6043	DR_NT
S8989	IE_T
S714	IE_NT
S9324	IE_T
S5484	IE_NT
S3665	IE_NT
S7372	DR_NT
S2410	IE_NT
S8990	IE_T
S8991	IE_T
S715	IE_NT
S716	IE_NT
S717	IE_NT
S5033	IE_NT
S718	IE_NT
S9325	IE_T
S5034	IE_NT
S2715	IE_NT
S5401	IE_NT
S5295	IE_NT
S719	IE_NT
S3666	IE_NT
S44	DR_T
S3667	IE_NT
S720	IE_NT
S8045	AA_T
S721	IE_NT
S722	IE_NT
S2049	IE_NT
S6986	DR_NT
S723	IE_NT
S7373	DR_NT
S8685	TB_T
S5485	IE_NT
S2137	IE_NT
S8731	TB_T
S9326	IE_T
S3668	IE_NT
S7374	DR_NT
S2245	IE_NT
S724	IE_NT
S3669	IE_NT
S6987	DR_NT
S9506	IE_T
S2246	IE_NT
S3670	IE_NT
S725	IE_NT
S6044	DR_NT
S8869	TB_T
S7375	DR_NT
S2074	IE_NT
S3671	IE_NT
S3672	IE_NT
S3673	IE_NT
S5447	IE_NT
S2595	IE_NT
S5035	IE_NT
S7853	AA_T
S726	IE_NT
S7684	DR_NT
S727	IE_NT
S728	IE_NT
S5639	IE_NT
S2890	IE_NT
S45	DR_T
S5432	IE_NT
S6045	DR_NT
S6046	DR_NT
S8074	AA_T
S2891	IE_NT
S9327	IE_T
S8476	TB_NT
S9587	IE_T
S729	IE_NT
S6047	DR_NT
S3674	IE_NT
S730	IE_NT
S6048	DR_NT
S6988	DR_NT
S6049	DR_NT
S9588	IE_T
S731	IE_NT
S3675	IE_NT
S7862	AA_T
S3676	IE_NT
S6050	DR_NT
S732	IE_NT
S733	IE_NT
S409	DR_T
